PROGNAME,VARIANT,ARGS,THREADS,MINTIME,MEDIANTIME,MAXTIME,GIT_DEPTH
snowball-list,normal-haskell,2000000,8,8.5858e-2,8.5885e-2,9.5131e-2,284
snowball-list,cnf-0.9-bugfix-incremental,2000000,8,4.8128e-2,5.0542e-2,5.1158e-2,284
snowball-list,normal-haskell,4000000,8,0.136234,0.160103,0.187445,284
snowball-list,cnf-0.9-bugfix-incremental,4000000,8,8.4812e-2,8.8527e-2,9.049e-2,284
snowball-list,normal-haskell,8000000,8,0.303084,0.308309,0.331602,284
snowball-list,cnf-0.9-bugfix-incremental,8000000,8,0.168427,0.169173,0.169558,284
snowball-list,normal-haskell,10000000,8,0.457838,0.474602,0.50233,284
snowball-list,cnf-0.9-bugfix-incremental,10000000,8,0.20011,0.203156,0.211321,284
snowball-list,normal-haskell,30000000,1,3.931021,3.932927,3.934306,284
snowball-list,normal-haskell,15000000,8,0.318684,0.506031,0.551291,284
snowball-list,cnf-0.9-bugfix-incremental,15000000,8,0.293385,0.305133,0.306559,284
snowball-list,normal-haskell,20000000,8,0.72454,0.788422,0.839544,284
snowball-list,cnf-0.9-bugfix-incremental,20000000,8,0.387956,0.399724,0.401562,284
